Region,Quest Name,Steps to Complete,Rewards
Natlan,A Saurian Lover's Ordinary Days,6,"Primogem x 30
Mora x 37,000
Recipe: Sour Sauce Kipper x 1"
Natlan,Beneath The Crystal Rock,19,"Primogem x 50
Hero's Wit x 5
Mora x 34,000
Mystic Enhancement Ore x 4"
Natlan,Gifts and Gifts in Return,7,No rewards found
Natlan,Peace To The SlumberingBeneath The Crystal Rock,8,"Primogem x 40
Hero's Wit x 2
Mora x 23,500
Mystic Enhancement Ore x 2"
Natlan,Ripe For Trouble,10,"Adventure EXP x 350
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 3
Mora x 10,000"
Natlan,Seeker No FindingTracer No Tracing,8,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3
Iridescent Inscription Fragment x 1"
Natlan,Tepetlisaurus Hide-and-Seek,3,"Primogem x 20
Mora x 26,500"
Natlan,"To The Night, What Is The Night'sCourier's Trial Keystone",6,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3
Shattered Night Jade x 1"
Natlan,Tracer No Tracing,8,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3"
Natlan,Waiting For Seeds to Sprout,4,"Primogem x 30
Mora x 37,000"
Natlan,Weighty Wings,5,"Primogem x 30
Mora x 37,000"
Natlan,"A Prayer For Blessings, Told To Crested Peaks",0,No rewards found
Natlan,Avant-Garde Graffiti Visionary!Chapter 5 Act 2,0,No rewards found
Natlan,Between Pledge And ForgettanceLost In The Woods,26,"Primogem x 100
Mora x 118,000
Mystic Enhancement Ore x 4
The Cornerstone of Stars and Flames x 1"
Natlan,Feeling Like Fish Today!,2,"Primogem x 20
Mora x 26,500"
Natlan,"In the Footsteps Of The Chosen Of DragonsLights, Kamera, Action!A Saurian Lover's Ordinary DaysTepetlisaurus Hide-and-SeekWeighty WingsGifts and Gifts in ReturnWaiting For Seeds to SproutTreasures And CollectorsSpecial FriendsFeeling Like Fish Today!Lies And Promises Quest",10,No rewards found
Natlan,Lies And Promises,4,"Primogem x 20
Mora x 26,500"
Natlan,"Lights, Kamera, Action!",4,"Primogem x 20
Mighty Meaty Fireball x 1
Mora x 26,500"
Natlan,Lost In The Woods,6,"Primogem x 20
Mora x 26,500
Reaffirmed Accord of Appelation"
Natlan,Revelations From The PastRite Of The Bold,14,"Primogem x 50
The Cornerstone of Stars and Flames x 1
Mystic Enhancement Ore x 4
Mora x 54,500"
Natlan,Rite Of The BoldLost In The Woods,3,"Primogem x 30
Mora x 37,000
Talisman of Waxaklahun Ubah Kah x 1"
Natlan,Shadows Of The MountainsBeneath The Crystal Rock,2,No rewards found
Natlan,Special Friends,5,"Primogem x 20
Mora x 26,500"
Natlan,"Stride On Rainbows, Split The Waves",6,"Primogem x 40
Hero's Wit x 2
Mora x 33,000
Mystic Enhancement Ore x 3"
Natlan,Tale Of Dreams Plucked From FireTracer No Tracing,2,No rewards found
Natlan,The Case Of The Crafting Bench,20,"Primogem x 30
Hero's Wit x 2
Mora x 22,500
Mystic Enhancement Ore x 3"
Natlan,To Wish Upon A Star,5,"Primogem x 20
Mora x 26,500"
Natlan,Toward Red-Hot Adventure!Chapter 5 Act 1 Archon Quest,1,"Mora x 21,500
Adventurer's Experience x 4"
Natlan,Treasures And Collectors,10,"Primogem x 30
Mora x 37,000"
Fontaine,A Certain NoticeAs Light Rain Falls Without Reason,4,"Hero's Wit x 3
Mystic Enhancement Ore x 6
Mora x 21,500"
Fontaine,A Certain StampA Certain Trifle Quest,4,"Hero's Wit x 3
Mora x 21,500"
Fontaine,A Certain TrifleA Certain Notice Quest,6,"Hero's Wit x 3
Mora x 21,500"
Fontaine,"A LetterA Certain NoticeA Certain TrifleA Certain StampFontaine Research Institute, Stagnating In The Rubble",7,"Adventure EXP x150
Hero's Wit x3
Mora x 30,000"
Fontaine,Ann's Story,23,"Adventure EXP x 450
Primogems x 50
Hero's Wit x 5
Mystic Enhancement Ore x 4
Mora x 50,000"
Fontaine,Another Horizon Of AdventurePrelude Of Blancheur And NoirceurAs Light Rain Falls Without Reason,3,"Adventure EXP x 150
Adventurer's Experience x4
Mora x20,000"
Fontaine,Aqueous Tidemarks,19,"Adventure EXP x 500
Primogems x 40
Hero's Wit x 3
Mystic Enhancement Ore x 5
Mora x 30,000"
Fontaine,Both Brains and BrawnUnfinished Comedy Quest Chain,15,"Primogems x 50
Hero's Wit x 5
Prankation Fonta Cup
Mora x 34,000
Credit Coupons x900
Mystic Enhancement Ore x3"
Fontaine,Canticles of Harmony,32,"Primogem x 30
Mora x 37,000
Ancient Autoharmonic Music Box
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Primogem x 30
Hero's Wit x 2
Mora x 32,500
Mystic Enhancement Ore x 3
Primogem x 40
Hero's Wit x 4
Mora x 33,500
Mystic Enhancement Ore x 4"
Fontaine,Danger Lurks Everywhere in FontaineAs Light Rain Falls Without Reason,5,"Hero's Wit x 3
Mora x 21,500"
Fontaine,Daydreams Beyond Space And TimeWhere His Life Lies,4,"Adventure EXP x 150
Hero's Wit x 3
Mora x 20,000"
Fontaine,"Echoes of the Ancient WorldLimner, Dreamer, and Robotic Dog Quest",12,"Primogems x30
Hero's Wit x2
Mora x22,500
Mystic Enhancement Ore x3
Strange Part x1"
Fontaine,Fishing Game,3,"Adventure EXP x 600
Primogems x 20
Mora x 25,000
Strange Part x 1"
